Word,Definition
,
God,Paz; Ineškipaz
hopeless,sedejneževteme
washable,muśkeviks
a,a tešksëś
a,(glasnojde ikele an); avoľ opredeľonnoj artikl
a lot of,lamo
a.m.,valske marto
aback,udal jondo; udal jont
abandon,kadoms
abbreviate,kirtäms (val)
abbreviation,kirtäń val
abdomen,peke
abduct,salams (lomań kovgak)
abduction,lomaneń salamo
abide,cidärdoms
ability,jorokči; maštomači
ablaze,tolpotso
able,maštoma marto
abnormal,avoľ lijatneń kondämo
abolish,putoms pe
aborigine,aborigen
abortion,ejdeń kajavtoma
about,langa; -do; peŕka
above,1. veľkss 2. veľkssë 3. veľkska
abroad,ombo mastoro
abrupt,apak učoń; avalanä
abscess,komadońpal; orvo; sukaodar
absence,araź; araźči
absent,araś
absolutely,val araś
absorb,sotäms
abstain,a tejems
abstract,čaŕkodevksëń; abstraktnoj
absurd,prevtemeń
abundance,lamoči
abundant,lamočisë; satïška
abuse,1. atevs noldamo 2. śovnoma 3. naŕgamo
abuse,1. avoľ videstë noldams tevs 2. śovnoms 3. naŕgams
abusive,1. (language) pek amazï (keľ) 2. naŕgicä
academic,akademijań; akademijaso
academy,akademija
accelerate,1. eräzkadoms 2. eräzkavtoms
acceleration,1. eräzkadoma 2. eräzkavtoma
accelerator,pedal
accent,1. (language) lomań kortavks 2. (word valoń) vačkoďks
accept,1. lovoms jonks 2. sajems eś jutks
acceptable,satïška vadrä; jonks lovoviks
acceptance,1. eś jutks sajema 2. jonks lovoma
access,dostup
accessible,dostupnoj
accessories,1. keďjonksoń zapčasť 2. oršamopeleń zapčasť
accessory,prestupnikneń lezdïcä
accident,1. zïjan; avarija 2. apak učoń tev
accidental,apak učoń
accidentally,apak učo
accommodate,1. maksoms tarka 2. maksoms eräms tarka
accommodation,(akuvateń) erämo tarka
accompaniment,akkompaniment
accompany,1. iľtems 2. sedäms akkompanement 3. ve škastonť ersems
accomplish,??iznäms ??topavtoms
accomplishment,??iznävks
according  to,koräs
accordingly,??teń koräs
accordion,garmonija
account,(bank) sčot
accountable,otvetstvennoj
accountant,buhgaľter
accrue,kastoms (procent)
accumulate,1. purnavoms 2. purnams
accumulation,1. purnavoma 2. purnamo
